name,start_lat,start_lon
william-hastie,35.9347,-83.874517
whiteoak-sinks,35.6273,-83.72647
ut-arboretum,35.994293,-84.21918
twin-arches-loop,36.544395,-84.741628
songbird-loop,36.209536,-84.073688
sharps-ridge-overlook,36.003458,-83.937794
seven-islands-loop,35.95294,-83.688024
sequoyah-park,35.929423,-83.973933
obed-point-trail,36.102467,-84.721778
mouse-creek,35.751882,-83.110221
middle-prong,35.618107,-83.669748
look-rock-overlook,35.631337,-83.940275
little-river-loop,35.653717,-83.58023
lakeshore-park,35.92392,-83.990129
knox-blount-greenway,35.941961,-83.953068
ijams-river-and-tower-loop,35.956297,-83.866791
ijams-crag,35.95171791536569,-83.86593421347055
house-mountain-overlook,36.104753,-83.76291
honey-creek-loop,36.42145,-84.651289
high-ground-park,35.938383,-83.925644
emory-falls,36.136745,-84.48742
chestnut-top,35.660537,-83.708989
bandy-creek-fall-branch-falls,36.490535,-84.697849
angel-falls-overlook,36.505523,-84.656617
andrews-bald,35.556757,-83.496101
alum-cave,35.629043,-83.450959
abrams-falls,35.591174,-83.852418
abrams-creek,35.609088,-83.935332
